,dates,infected
0,2020-02-26,0
1,2020-02-27,59
2,2020-02-28,104
3,2020-02-29,135
4,2020-03-01,156
5,2020-03-02,167
6,2020-03-03,171
7,2020-03-04,167
8,2020-03-05,159
9,2020-03-06,148
10,2020-03-07,135
11,2020-03-08,124
12,2020-03-09,116
13,2020-03-10,113
14,2020-03-11,117
15,2020-03-12,132
16,2020-03-13,159
17,2020-03-14,202
18,2020-03-15,262
19,2020-03-16,342
20,2020-03-17,446
21,2020-03-18,577
22,2020-03-19,737
23,2020-03-20,929
24,2020-03-21,1158
25,2020-03-22,1426
26,2020-03-23,1737
27,2020-03-24,2094
28,2020-03-25,2501
29,2020-03-26,2961
30,2020-03-27,3480
31,2020-03-28,4059
32,2020-03-29,4705
33,2020-03-30,5419
34,2020-03-31,6208
35,2020-04-01,7075
36,2020-04-02,8024
37,2020-04-03,9061
38,2020-04-04,10189
39,2020-04-05,11414
40,2020-04-06,12740
41,2020-04-07,14172
42,2020-04-08,15715
43,2020-04-09,17374
44,2020-04-10,19155
45,2020-04-11,21062
46,2020-04-12,23101
47,2020-04-13,25277
48,2020-04-14,27597
49,2020-04-15,30065
50,2020-04-16,32688
51,2020-04-17,35471
52,2020-04-18,38420
53,2020-04-19,41541
54,2020-04-20,44841
55,2020-04-21,48325
56,2020-04-22,52001
57,2020-04-23,55873
58,2020-04-24,59950
59,2020-04-25,64237
60,2020-04-26,68741
61,2020-04-27,73469
62,2020-04-28,78428
63,2020-04-29,83625
64,2020-04-30,89067
65,2020-05-01,94762
66,2020-05-02,100715
67,2020-05-03,106936
68,2020-05-04,113431
69,2020-05-05,120207
70,2020-05-06,127274
71,2020-05-07,134637
72,2020-05-08,142306
73,2020-05-09,150288
74,2020-05-10,158591
75,2020-05-11,167223
76,2020-05-12,176193
77,2020-05-13,185509
78,2020-05-14,195179
79,2020-05-15,205212
80,2020-05-16,215617
81,2020-05-17,226401
82,2020-05-18,237575
83,2020-05-19,249146
84,2020-05-20,261125
85,2020-05-21,273519
86,2020-05-22,286339
87,2020-05-23,299593
88,2020-05-24,313291
89,2020-05-25,327443
90,2020-05-26,342057
91,2020-05-27,357144
92,2020-05-28,372714
93,2020-05-29,388776
94,2020-05-30,405340
95,2020-05-31,422416
96,2020-06-01,440014
97,2020-06-02,458146
98,2020-06-03,476820
99,2020-06-04,496048
100,2020-06-05,515840
101,2020-06-06,536206
102,2020-06-07,557158
103,2020-06-08,578706
104,2020-06-09,600862
105,2020-06-10,623635
106,2020-06-11,647037
